,Buy,Sell,Type
152,2019-10-14T00:00:00.000000000,2019-10-17T00:00:00.000000000,1
153,2019-10-15T00:00:00.000000000,2019-10-18T00:00:00.000000000,1
154,2019-10-16T00:00:00.000000000,2019-10-19T00:00:00.000000000,1
155,2019-10-17T00:00:00.000000000,2019-10-20T00:00:00.000000000,1
156,2019-10-20T00:00:00.000000000,2019-10-23T00:00:00.000000000,1
157,2019-10-21T00:00:00.000000000,2019-10-24T00:00:00.000000000,1
158,2019-10-22T00:00:00.000000000,2019-10-25T00:00:00.000000000,1
159,2019-10-23T00:00:00.000000000,2019-10-26T00:00:00.000000000,1
160,2019-10-24T00:00:00.000000000,2019-10-27T00:00:00.000000000,1
161,2019-10-27T00:00:00.000000000,2019-10-30T00:00:00.000000000,1
162,2019-10-28T00:00:00.000000000,2019-10-31T00:00:00.000000000,1
163,2019-10-29T00:00:00.000000000,2019-11-01T00:00:00.000000000,1
164,2019-10-30T00:00:00.000000000,2019-11-02T00:00:00.000000000,1
165,2019-10-31T00:00:00.000000000,2019-11-03T00:00:00.000000000,1
166,2019-11-03T00:00:00.000000000,2019-11-06T00:00:00.000000000,1
167,2019-11-04T00:00:00.000000000,2019-11-07T00:00:00.000000000,1
168,2019-11-05T00:00:00.000000000,2019-11-08T00:00:00.000000000,1
169,2019-11-06T00:00:00.000000000,2019-11-09T00:00:00.000000000,1
170,2019-11-07T00:00:00.000000000,2019-11-10T00:00:00.000000000,1
171,2019-11-10T00:00:00.000000000,2019-11-13T00:00:00.000000000,1
172,2019-11-11T00:00:00.000000000,2019-11-14T00:00:00.000000000,1
173,2019-11-12T00:00:00.000000000,2019-11-15T00:00:00.000000000,1
174,2019-11-13T00:00:00.000000000,2019-11-16T00:00:00.000000000,1
175,2019-11-14T00:00:00.000000000,2019-11-17T00:00:00.000000000,1
176,2019-11-17T00:00:00.000000000,2019-11-20T00:00:00.000000000,1
177,2019-11-18T00:00:00.000000000,2019-11-21T00:00:00.000000000,1
178,2019-11-19T00:00:00.000000000,2019-11-22T00:00:00.000000000,1
179,2019-11-20T00:00:00.000000000,2019-11-23T00:00:00.000000000,1
180,2019-11-21T00:00:00.000000000,2019-11-24T00:00:00.000000000,1
181,2019-11-24T00:00:00.000000000,2019-11-27T00:00:00.000000000,1
182,2019-11-25T00:00:00.000000000,2019-11-28T00:00:00.000000000,1
183,2019-11-26T00:00:00.000000000,2019-11-29T00:00:00.000000000,1
184,2019-11-27T00:00:00.000000000,2019-11-30T00:00:00.000000000,1
